NAME,OVR,POT
Marian Aioani,70,78
Dan Sîrbu,61,74
Ionuț Larie,66,66
Mihai Popescu,66,67
David Kiki,67,67
Andrei Artean,67,67
Dragoș Nedelcu,66,71
Constantin Grameni,65,78
Vlad Morar,61,61
Denis Alibec,68,68
Louis MunteanuL,64,79
Adrian Mazilu,55,75
Carlo Casap,61,67
Gabriel Dănuleasă,56,74
Sebastian Borza,56,75
Alexandru Buzbuchi,64,66
Ionuț Cojocaru,55,67
Tudor Băluță,71,75
Bogdan Lazăr,55,70
Mateus Criciúma,63,68
Luca Nicolae Banu,53,73
Luca Andronache,59,76
Kevin Doukoure,62,70
Ștefan Mușat,51,63
Nicolas Popescu,57,74
Rolandas Baravykas,64,65
Kévin Boli,67,67
