NAME,OVR,POT
Plamen Iliev,65,65
Ștefan VlădoiuL,65,69
Florin Ilie,62,62
Andrei Miron,67,67
Denis Ispas,63,63
Dorinel Oancea,65,69
Romário Pires,66,66
Martin Remacle,59,64
Alexandru Chipciu,67,67
Mamadou Thiam,66,66
Ianis StoicaL,63,77
Ovidiu HorșiaL,63,69
Gabriel Simion,65,70
Loránd Fülöp,64,69
Andrei Pițian,65,68
Andrei Gorcea,58,71
Zé GomesL,64,73
Adrian Bălan,64,64
Albert Hofman,61,74
Ioan Filip,66,66
Krystian Nowak,61,63
Dragoș Tescan,60,67
Matei Moraru,50,72
Florin Haită,60,70
Aurelian Păun,56,69
Ovidiu Bic,65,65
Răzvan Trif,64,69
