NAME,OVR,POT
Cody Cropper,64,64
Javain Brown,65,70
Ranko Veselinović,68,74
Tristan Blackmon,68,73
Marcus Godinho,62,64
Russell Teibert,65,65
Andrés Cubas,74,78
Ryan Raposo,62,68
Ryan Gauld,75,76
Déiber Caicedo,70,77
Lucas Cavallini,71,71
Cristian Dájome,71,71
Sebastian Berhalter,62,73
Florian Jungwirth,66,66
Jakob Nerwinski,66,66
Thomas Hasal,64,72
Brian White,68,70
Pedro Vite,64,77
Leonard Owusu,65,69
Cristian Gutiérrez,68,71
Tosaint Ricketts,61,61
Erik Godoy,68,68
Luís Martins,68,68
Michael Baldisimo,63,73
Caio Alexandre,69,74
Matteo Campagna,49,72
Isaac Boehmer,53,67
Janio Bikel,69,71
