NAME,OVR,POT
Emiliano Martínez,85,85
Ashley Young,76,76
Ezri Konsa,79,83
Tyrone Mings,78,78
Álex Moreno,80,80
Douglas Luiz,78,82
Boubacar Kamara,80,86
Emiliano Buendía,80,81
John McGinn,78,78
Leon Bailey,80,83
Ollie Watkins,77,78
Jhon Durán,65,80
Leander Dendoncker,75,76
Jacob Ramsey,75,83
Lucas Digne,82,82
Robin Olsen,75,75
Coutinho,80,80
Matty Cash,79,82
Kaine Kesler-Hayden,65,81
Calum Chambers,75,76
Diego Carlos,82,82
Tommi O'Reilly,59,79
Jed Steer,71,71
Rory Wilson,59,83
Joshua Feeney,57,80
Oliwier Zych,57,76
Hayden Lindley,57,68
Viljami Sinisalo,55,69
Sil Swinkels,56,75
Bertrand Traoré,76,76
